id,split,type,title,file,path,ext,chars,paragraphs,paragraphs_per_1000_chars,median_paragraph_chars,under20_paragraph_ratio,max_under20_run,section_count,progression_chain,visual_cadence,source_stratum,sha256
a011,train,日常活动开展,（第13期）练团子党支部参与清明祭扫活动简报,（第13期）练团子党支部参与清明祭扫活动简报.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第13期）练团子党支部参与清明祭扫活动简报.docx,.docx,485,10,20.62,41,0.5,5,0,导语->过程展开->成效意义,text-only or source image not extracted,short-routine,093b9122ee798d9950224813b99c4bb5b0b09360894a544ec2a5744450dd85c4
a012,train,日常活动开展,（第14期）十年征程葆初心 稳中求进促发展,（第14期）十年征程葆初心 稳中求进促发展.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第14期）十年征程葆初心 稳中求进促发展.doc,.doc,1133,11,9.71,78,0.455,5,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,routine-complete,049f23a81880b9e7639b38ad6d0a74e8c0e2a1fa7b8667faef0936dc4c06926c
a013,train,日常活动开展,（第14期）练团子党支部开展第十一届爱心送考6.7,（第14期）练团子党支部开展第十一届爱心送考6.7.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第14期）练团子党支部开展第十一届爱心送考6.7.docx,.docx,469,10,21.32,12,0.6,6,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,48a95d217c7de4e6055bd6649feb7aecf9877f9c9481ca2eb90f0007152c60a6
a014,train,日常活动开展,（第15期）大宜宾红娘东楼说媒圆满落幕,（第15期）大宜宾红娘东楼说媒圆满落幕.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第15期）大宜宾红娘东楼说媒圆满落幕.doc,.doc,457,9,19.69,13,0.556,5,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,short-routine,b9b54da1f9ff22c39e0900598d699adce13ec1b5c1ad5b0e78a56c9ece481630
a015,train,日常活动开展,（第15期）练团子党支部组织观看《清廉四川》节目,（第15期）练团子党支部组织观看《清廉四川》节目.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第15期）练团子党支部组织观看《清廉四川》节目.docx,.docx,396,9,22.73,16,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,dc4b040459cf8da84e36f46059f51d83fee64bcee4a2cf8c2da3352ada8c642d
a016,train,日常活动开展,（第16期）爱心助农解民忧 党员先行显担当6.17,（第16期）爱心助农解民忧 党员先行显担当6.17.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第16期）爱心助农解民忧 党员先行显担当6.17.docx,.docx,538,9,16.73,14,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,5b29f734d53c1af84b8b2a4d4f8a60b4872c8af0bd86c5b0471433dfda7b07d1
a017,train,日常活动开展,（第17期）练团子党支部开展“寻根之旅——春日农耕插秧体验”主题党日活动简报,（第17期）练团子党支部开展“寻根之旅——春日农耕插秧体验”主题党日活动简报.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第17期）练团子党支部开展“寻根之旅——春日农耕插秧体验”主题党日活动简报.docx,.docx,410,9,21.95,28,0.444,4,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,54449565e5a993eea0a7acda8846e024c3e3e03e9efbcb9e7c896233f4ed8e47
a018,train,日常活动开展,（第17期）练团子党支部开展端午福利发放活动6.17,（第17期）练团子党支部开展端午福利发放活动6.17.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第17期）练团子党支部开展端午福利发放活动6.17.docx,.docx,514,9,17.51,16,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,5af0ba83e01d178e748173e2675da8a523cfab9619caab2196232bfa3cac1164
a019,train,日常活动开展,（第19期）练团子党支部集中收看新兴领域党建专题培训线上直播6.23,（第19期）练团子党支部集中收看新兴领域党建专题培训线上直播6.23.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第19期）练团子党支部集中收看新兴领域党建专题培训线上直播6.23.docx,.docx,551,9,16.33,24,0.444,4,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,7820c69d7755fe4e94fe2963ebcf65acc4f7ff7911b202025e8415a7500d9b88
a020,train,日常活动开展,（第1期）组织学习《“书记龙门阵”主题坝坝会：围炉夜话——解决产业路“最后一公里”问题》,（第1期）组织学习《“书记龙门阵”主题坝坝会：围炉夜话——解决产业路“最后一公里”问题》.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第1期）组织学习《“书记龙门阵”主题坝坝会：围炉夜话——解决产业路“最后一公里”问题》.docx,.docx,139,6,43.17,19,0.5,3,0,导语->过程展开->成效意义,text-only or source image not extracted,short-routine,9308b03f920fc6e1199d29e169f68b4d4b7e39600035e7596eb133be56b25983
a021,holdout,日常活动开展,（第21期）练团子党支部受邀参与“党课大家讲——百堂党课话宜宾”,（第21期）练团子党支部受邀参与“党课大家讲——百堂党课话宜宾”.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第21期）练团子党支部受邀参与“党课大家讲——百堂党课话宜宾”.docx,.docx,567,11,19.4,12,0.545,6,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,f8c99876e749e5e7c19d1e31a5c6e5393221bf726df95c1b33b77bd390a3b491
a022,train,日常活动开展,（第21期）练团子党支部开展“直播观奥运 共抒爱国情”主题党日活动,（第21期）练团子党支部开展“直播观奥运 共抒爱国情”主题党日活动.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第21期）练团子党支部开展“直播观奥运 共抒爱国情”主题党日活动.doc,.doc,316,8,25.32,16,0.5,4,0,导语->过程展开->成效意义,text-only or source image not extracted,short-routine,28b62e279d9c0e5c3273411ff2bd1231ddcc4f7a200f8eb7bbdca7eb6c8b30f9
a023,train,日常活动开展,（第22期）学习《中国共产党基层组织选举工作条例》主题党日活动,（第22期）学习《中国共产党基层组织选举工作条例》主题党日活动.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第22期）学习《中国共产党基层组织选举工作条例》主题党日活动.doc,.doc,531,8,15.07,15,0.5,4,0,导语->过程展开->成效意义,text-only or source image not extracted,routine-complete,5d0ea653ea16c1986bcec4790c88929e66f0aae06402e618f9467d496c651a59
a024,train,日常活动开展,（第22期）练团子党支部协办“宜宾父母相亲会”简报,（第22期）练团子党支部协办“宜宾父母相亲会”简报.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第22期）练团子党支部协办“宜宾父母相亲会”简报.docx,.docx,420,8,19.05,12,0.625,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,9b1d99a22ef94633b934206c33a1f0b3a3ba5fab0ad58545324b351289e1fbc2
a025,train,日常活动开展,（第23期）练团子党支部开展《中国共产党纪律处分条例》的学习活动,（第23期）练团子党支部开展《中国共产党纪律处分条例》的学习活动.doc,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第23期）练团子党支部开展《中国共产党纪律处分条例》的学习活动.doc,.doc,563,13,23.09,33,0.385,5,3,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,7881accbdc079bbc12fc7f2a2cff0c4d2404bdf02d3c35de02b2506f1c0dfdc9
a026,train,日常活动开展,（第24期）练团子党支部参与宜宾市叙州区2025年新兴领域党组织庆“七一”主题党日活动简报,（第24期）练团子党支部参与宜宾市叙州区2025年新兴领域党组织庆“七一”主题党日活动简报.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第24期）练团子党支部参与宜宾市叙州区2025年新兴领域党组织庆“七一”主题党日活动简报.docx,.docx,466,9,19.31,14,0.667,6,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,2c0123f19bbbb33ce24f163b1dad39b51145210730e7c6a2761a3e761dc846f8
a027,train,日常活动开展,（第29期）练团子党支部、叙州区妇联联合拍摄党员参与向三类侵权行为说不,（第29期）练团子党支部、叙州区妇联联合拍摄党员参与向三类侵权行为说不.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第29期）练团子党支部、叙州区妇联联合拍摄党员参与向三类侵权行为说不.docx,.docx,479,10,20.88,14,0.6,6,0,背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,19f28bcb10036dd72c967dd335404afbf90ca40eea62adbd3606c0c43844bd90
a028,train,日常活动开展,（第2期）组织观看学习《百年党史》,（第2期）组织观看学习《百年党史》.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第2期）组织观看学习《百年党史》.docx,.docx,127,6,47.24,9,0.667,4,0,导语->过程展开,text-only or source image not extracted,short-routine,d68cd0a4bc619f2c1283d4251fee1431b8375431025c0a441d93fb6e7a9d1d82
a029,train,日常活动开展,（第30期）练团子党支部联合多组织共观九三阅兵,（第30期）练团子党支部联合多组织共观九三阅兵.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第30期）练团子党支部联合多组织共观九三阅兵.docx,.docx,485,10,20.62,12,0.6,6,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,aef14eb25f2f04abc1459e895602ee5370a678fc1eb8d78687d8ef6625b1122e
a030,train,日常活动开展,（第38期）练团子党支部与宜宾电信市场党支部开展“党建翼联”主题党日活动,（第38期）练团子党支部与宜宾电信市场党支部开展“党建翼联”主题党日活动.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第38期）练团子党支部与宜宾电信市场党支部开展“党建翼联”主题党日活动.docx,.docx,616,9,14.61,28,0.444,4,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,ddde244acea77c5500e63ba6d9c7869b309b20eb105ed50724160ece6710e890
a031,train,日常活动开展,（第38期）练团子党支部开展慰问屏山困难人群主题党日活动,（第38期）练团子党支部开展慰问屏山困难人群主题党日活动.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第38期）练团子党支部开展慰问屏山困难人群主题党日活动.docx,.docx,688,9,13.08,22,0.444,4,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,1cfcf8422d6a7b77b63a44979be560ddcdadb6467e74ea2c14ad63bf2bab7af3
a032,train,日常活动开展,（第5期）组织开展二十大精神、党性修养学习,（第5期）组织开展二十大精神、党性修养学习.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第5期）组织开展二十大精神、党性修养学习.docx,.docx,122,6,49.18,12,0.667,4,0,导语->过程展开->成效意义,text-only or source image not extracted,short-routine,4ba3def171eb97fab33d747dabe76127a9a0d1935d563f5768566901006de866
a033,train,日常活动开展,（第6期）党建引领促发展，就业帮扶助未来,（第6期）党建引领促发展，就业帮扶助未来.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第6期）党建引领促发展，就业帮扶助未来.docx,.docx,782,12,15.35,71,0.417,5,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,f5863455a5e791d95cbffec0f12e67849e8ba2084b9b202e99e362b0a9bb5a4b
a034,train,日常活动开展,（第6期）党建引领促就业 春风送岗暖人心——练团子党支部助力2026年大宜宾第九届春季招聘会纪实3.7,（第6期）党建引领促就业 春风送岗暖人心——练团子党支部助力2026年大宜宾第九届春季招聘会纪实3.7.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第6期）党建引领促就业 春风送岗暖人心——练团子党支部助力2026年大宜宾第九届春季招聘会纪实3.7.docx,.docx,711,12,16.88,44,0.417,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,fb82d1819e773fea174f4948722207190ad49597a3d102250cbc57b8c14f49f8
a035,train,日常活动开展,（第7期）一起奔赴热爱·努力“飞驰人生”,（第7期）一起奔赴热爱·努力“飞驰人生”.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第7期）一起奔赴热爱·努力“飞驰人生”.docx,.docx,508,9,17.72,22,0.444,4,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,routine-complete,78adeb287f6d9634fedfb51fb859f20e0ee744eb17c5798869b056e919a522ea
a036,train,日常活动开展,（第8期）春风送岗  业在宜宾,（第8期）春风送岗  业在宜宾.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第8期）春风送岗  业在宜宾.docx,.docx,708,11,15.54,56,0.455,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,7c926f75069cb3d1ae0068123f7cd68fd4e6af8fc3449569bede016bb9fc8cbd
a037,train,日常活动开展,（第9期）练团子党支部组织开展“党建引领促互联，凝心聚力谋发展”主题活动4.30,（第9期）练团子党支部组织开展“党建引领促互联，凝心聚力谋发展”主题活动4.30.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/日常活动开展/（第9期）练团子党支部组织开展“党建引领促互联，凝心聚力谋发展”主题活动4.30.docx,.docx,673,12,17.83,12,0.583,7,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,457bba174cd11f060c972f22203f9c643e5f8c83dc721d29af493ae1923bfd5e
a038,train,获奖宣传,“青心向党・四力助民”：党建引领数字经济企业服务民生新实践,练团子党支部党建品牌：“青心向党・四力助民”：党建引领数字经济企业服务民生新实践.pdf,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/获奖宣传/练团子党支部党建品牌：“青心向党・四力助民”：党建引领数字经济企业服务民生新实践.pdf,.pdf,2132,94,44.09,25,0.223,2,8,背景目的->过程展开->成效意义,text-only or source image not extracted,representative-long,43d6e9efcf70fa1eed00b416ae6ae0245cc09b2d2141dccec6cb45fe84d86691
a039,holdout,获奖宣传,（第1期）四力助民显担当  五星筑梦谱新篇——热烈祝贺练团子党支部荣膺四川省互联网企业“五星级党组织”1.9,（第1期）四力助民显担当  五星筑梦谱新篇——热烈祝贺练团子党支部荣膺四川省互联网企业“五星级党组织”1.9.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/获奖宣传/（第1期）四力助民显担当  五星筑梦谱新篇——热烈祝贺练团子党支部荣膺四川省互联网企业“五星级党组织”1.9.docx,.docx,1514,17,11.23,122,0.294,5,0,导语->过程展开->成效意义->下一步,text-only or source image not extracted,representative-long,336a37c5fe6987e21d2d1d0f7f4c0b5d80a0cdc50a95a0a25c41f05457dea004
a040,train,获奖宣传,（第22期）喜报！练团子党支部（大宜宾平台）荣获宜宾市“两优一先”表彰！7.1,（第22期）喜报！练团子党支部（大宜宾平台）荣获宜宾市“两优一先”表彰！7.1.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/获奖宣传/（第22期）喜报！练团子党支部（大宜宾平台）荣获宜宾市“两优一先”表彰！7.1.docx,.docx,1700,12,7.06,91,0.5,6,0,背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,representative-long,4bbedff9b9ed0ada5492766b9a2934b68ab37c06010511e2659f8698b0b11c22
a041,train,获奖宣传,（第23期）喜获市级荣誉 砥砺初心前行-练团子党支部荣获宜宾市先进基层党组织称号7.2,（第23期）喜获市级荣誉 砥砺初心前行-练团子党支部荣获宜宾市先进基层党组织称号7.2.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/获奖宣传/（第23期）喜获市级荣誉 砥砺初心前行-练团子党支部荣获宜宾市先进基层党组织称号7.2.docx,.docx,661,10,15.13,16,0.6,6,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,0aeafafe32696544ad1a061b515798efe693995efe4625c5d3a968122bb21013
a042,train,读书分享会、精英研学会,大宜宾第106期精英研学会APP发帖,大宜宾第106期精英研学会APP发帖.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/大宜宾第106期精英研学会APP发帖.docx,.docx,650,22,33.85,20,0.545,5,0,过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,817b5aec1e7d3c5f915f82f8bb569f7f08b15ba4606f23ba6141ded57c2358dc
a043,train,读书分享会、精英研学会,（第11期）练团子党支部组织第97期读书分享会5.29,（第11期）练团子党支部组织第97期读书分享会5.29.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第11期）练团子党支部组织第97期读书分享会5.29.docx,.docx,542,9,16.61,15,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,d657fc4afe6450b8057ed6555c68e74d399a8d2214ec8ffde78b7e483530b478
a044,train,读书分享会、精英研学会,（第12期）练团子党支部组织第84期读书分享会,（第12期）练团子党支部组织第84期读书分享会.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第12期）练团子党支部组织第84期读书分享会.docx,.docx,495,9,18.18,15,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,2f71409913a2fcf5932aa70eddec73418b248af10baee0bca45431cca38292fd
a045,train,读书分享会、精英研学会,（第16期）练团子党支部组织第85期读书分享会,（第16期）练团子党支部组织第85期读书分享会.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第16期）练团子党支部组织第85期读书分享会.docx,.docx,528,9,17.05,15,0.556,5,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,routine-complete,adb940666a6f9feb73a0cdf814824ca15d505aee601c8e7a26c35595d9a5e33a
a046,holdout,读书分享会、精英研学会,（第20期）练团子党支部组织开展第98期读书分享会6.25,（第20期）练团子党支部组织开展第98期读书分享会6.25.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第20期）练团子党支部组织开展第98期读书分享会6.25.docx,.docx,548,10,18.25,45,0.5,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,a54930ebd53c3613ab1b69d47d8a12233d4a5ee9bb815279e78facfb5bfe9d0e
a047,train,读书分享会、精英研学会,（第20期）练团子党支部组织第86期读书分享会,（第20期）练团子党支部组织第86期读书分享会.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第20期）练团子党支部组织第86期读书分享会.docx,.docx,458,8,17.47,11,0.625,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,69bed3b2ba7050502e01c19976f1601b4f457a16cc5b61f58f68771ae67d2a34
a048,train,读书分享会、精英研学会,（第23期）练团子党支部组织第87期读书分享会,（第23期）练团子党支部组织第87期读书分享会.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第23期）练团子党支部组织第87期读书分享会.docx,.docx,578,9,15.57,15,0.556,5,0,导语->背景目的->过程展开,text-only or source image not extracted,routine-complete,ef0ffb3fa6135d6f19f315d06b8d1d167e99739629ffdbef41f6e1b885ad3875
a049,train,读书分享会、精英研学会,（第27期）练团子党支部组织第88期读书分享会,（第27期）练团子党支部组织第88期读书分享会.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第27期）练团子党支部组织第88期读书分享会.docx,.docx,548,10,18.25,32,0.5,5,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,routine-complete,f33300ea0ce91774dc192307f670a6c899559587eaccf577b294846843d0b9db
a050,train,读书分享会、精英研学会,（第28期）练团子党支部组织第89期读书分享会,（第28期）练团子党支部组织第89期读书分享会.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第28期）练团子党支部组织第89期读书分享会.docx,.docx,481,9,18.71,15,0.556,5,0,导语->背景目的->过程展开->成效意义,text-only or source image not extracted,short-routine,c57ceb767c21c11c05572294442b59c038c2c626936dffb1b9ee93f9dfb9d2a5
a051,holdout,读书分享会、精英研学会,（第32期）练团子党支部第90期读书分享会简报,（第32期）练团子党支部第90期读书分享会简报.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第32期）练团子党支部第90期读书分享会简报.docx,.docx,587,9,15.33,15,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,656b0f43b0ce601a821b16396b90797a7af09f369bd8d945ae53490cf8caa695
a052,train,读书分享会、精英研学会,（第35期）练团子党支部第91期读书分享会简报,（第35期）练团子党支部第91期读书分享会简报.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第35期）练团子党支部第91期读书分享会简报.docx,.docx,544,10,18.38,24,0.5,5,0,导语->背景目的->过程展开->下一步,text-only or source image not extracted,routine-complete,f77b5bd78334aead2b0316c47f374c098ca155521425eaa1a3fbd4550aa5ce41
a053,train,读书分享会、精英研学会,（第37期）练团子党支部组织开展第92期读书分享会,（第37期）练团子党支部组织开展第92期读书分享会.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第37期）练团子党支部组织开展第92期读书分享会.docx,.docx,490,9,18.37,17,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,short-routine,f8a68cd623706d0f511314335803347f9a05e78b9c8e166bd0a2dc757842ad2a
a054,train,读书分享会、精英研学会,（第39期）练团子党支部第93期读书分享会简报,（第39期）练团子党支部第93期读书分享会简报.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第39期）练团子党支部第93期读书分享会简报.docx,.docx,577,9,15.6,15,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,eb6fb3149e7584ef48da302ec68189b97f19c588c22854996faa10a29e965f77
a055,train,读书分享会、精英研学会,（第7期）练团子党支部组织第95期读书分享会3.20,（第7期）练团子党支部组织第95期读书分享会3.20.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第7期）练团子党支部组织第95期读书分享会3.20.docx,.docx,567,10,17.64,51,0.5,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,a681afba11d7fb345b0f8f2ef8b7be099b279bd5d23d639caeea8be6687b44e8
a056,train,读书分享会、精英研学会,（第8期）练团子党支部组织第96期读书分享会4.29,（第8期）练团子党支部组织第96期读书分享会4.29.docx,/Users/lixin/Documents/学习/重点学习公众号/党建稿件/读书分享会、精英研学会/（第8期）练团子党支部组织第96期读书分享会4.29.docx,.docx,501,9,17.96,15,0.556,5,0,导语->背景目的->过程展开->成效意义->下一步,text-only or source image not extracted,routine-complete,b3395293098a21345229f85f80680b22475b3b3fb73f220c58af56293a2d36f1
