tid,date,subject,author,fname,views,replies,pings_num,share_num,total_heat,score,article_type,split,word_count,paragraph_count,paragraphs_per_1000,median_paragraph_len,short_paragraph_ratio,max_short_run,list_like_lines,path,url
794035,2022-08-17,宜宾终于下雨啦！,流浪啊,网友曝光,61160,191,0,0,0,80260,网友曝光热议,train,164,8,48.78,20.0,0.625,3,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/08/794035-宜宾终于下雨啦！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=794035
864507,2024-01-22,宜宾下雪啦！这些地方全是雪…,流浪啊,今日宜宾,51235,259,0,0,0,77135,综合本地新闻,train,151,9,59.6,12,0.556,4,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/01/864507-宜宾下雪啦！这些地方全是雪….md,https://dayibin.cn/forum.php?mod=viewthread&tid=864507
881838,2024-07-06,最新进展！宜宾288高楼塔冠幕墙圆满完工！,流浪啊,城市更新,43640,326,0,0,0,76240,城建交通更新,train,356,11,30.9,16,0.636,4,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/07/881838-最新进展！宜宾288高楼塔冠幕墙圆满完工！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=881838
732486,2021-10-02,继临港被挤爆后，宜宾又有大型无人机表演啦！,流浪啊,今日宜宾,43084,324,0,0,0,75484,综合本地新闻,train,207,6,28.99,33.0,0.333,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/10/732486-继临港被挤爆后，宜宾又有大型无人机表演啦！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=732486
784728,2022-06-30,网民反映“宜宾黄桷坪幼儿园保育员体罚幼儿”相关通报如下！,流浪啊,网友曝光,59415,159,0,0,0,75315,网友曝光热议,train,637,12,18.84,36.0,0.333,3,3,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/06/784728-网民反映“宜宾黄桷坪幼儿园保育员体罚幼儿”相关通报如下！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=784728
838777,2023-06-16,宜宾可以坐高铁直达香港了！票价、车次公布…,流浪啊,网友曝光,40194,349,0,0,0,75094,城建交通更新,train,1792,39,21.76,22,0.462,4,7,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/06/838777-宜宾可以坐高铁直达香港了！票价、车次公布….md,https://dayibin.cn/forum.php?mod=viewthread&tid=838777
855403,2023-10-30,最低工资标准公布！宜宾人，你达标了吗？,流浪啊,今日宜宾,57078,174,0,0,0,74478,综合本地新闻,train,161,9,55.9,11,0.778,7,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/10/855403-最低工资标准公布！宜宾人，你达标了吗？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=855403
798592,2022-09-10,中秋之夜！宜宾多个小区狂嗨，简直“疯”了…,流浪啊,网友曝光,58358,158,0,0,0,74158,网友曝光热议,train,279,13,46.59,15,0.615,5,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/09/798592-中秋之夜！宜宾多个小区狂嗨，简直“疯”了….md,https://dayibin.cn/forum.php?mod=viewthread&tid=798592
866286,2024-02-10,今天翠屏山、李庄、合江门全是人人人…,流浪啊,今日宜宾,46763,272,0,0,0,73963,本地生活文旅,train,88,8,90.91,10.0,0.875,7,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/02/866286-今天翠屏山、李庄、合江门全是人人人….md,https://dayibin.cn/forum.php?mod=viewthread&tid=866286
779506,2022-06-02,注意！高考期间，宜宾这些道路限行!,流浪啊,网友曝光,51600,223,0,0,0,73900,城建交通更新,train,771,12,15.56,25.0,0.417,3,4,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/06/779506-注意！高考期间，宜宾这些道路限行!.md,https://dayibin.cn/forum.php?mod=viewthread&tid=779506
768691,2022-04-07,太日款了！榜一大姐要寄内衣带给我，喊我戴手上当手环…,流浪啊,今日宜宾,55534,182,0,0,0,73734,综合本地新闻,train,445,9,20.22,43,0.222,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/04/768691-太日款了！榜一大姐要寄内衣带给我，喊我戴手上当手环….md,https://dayibin.cn/forum.php?mod=viewthread&tid=768691
784682,2022-06-30,狂风暴雨突袭宜宾！树子都吹倒了…,流浪啊,网友曝光,55375,179,0,0,0,73275,突发应急安全,train,106,6,56.6,14.0,0.833,4,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/06/784682-狂风暴雨突袭宜宾！树子都吹倒了….md,https://dayibin.cn/forum.php?mod=viewthread&tid=784682
865137,2024-01-28,这是宜宾人都羡慕的后花园？还能摘橘子、撬折耳根、喷泉…,流浪啊,网友曝光,52716,202,0,0,0,72916,网友曝光热议,train,588,12,20.41,46.5,0.167,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/01/865137-这是宜宾人都羡慕的后花园？还能摘橘子、撬折耳根、喷泉….md,https://dayibin.cn/forum.php?mod=viewthread&tid=865137
858482,2023-11-27,最新进展！大湾路立交预计12月通车，渝昆高铁还会远吗？,流浪啊,城市更新,56242,163,0,0,0,72542,城建交通更新,train,219,5,22.83,37,0.2,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/11/858482-最新进展！大湾路立交预计12月通车，渝昆高铁还会远吗？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=858482
777022,2022-05-20,挤爆了！今天520宜宾民政局门口全是情侣，从街头排到街尾…,流浪啊,今日宜宾,45533,270,0,0,0,72533,综合本地新闻,train,204,6,29.41,32.0,0.167,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/05/777022-挤爆了！今天520宜宾民政局门口全是情侣，从街头排到街尾….md,https://dayibin.cn/forum.php?mod=viewthread&tid=777022
790382,2022-07-30,最新通告！岷江大桥这个时段可双向通行，不限号！,流浪啊,城市更新,54079,184,0,0,0,72479,城建交通更新,train,689,16,23.22,12.0,0.625,5,2,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/07/790382-最新通告！岷江大桥这个时段可双向通行，不限号！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=790382
800423,2022-09-20,宜宾中心城区这些区域，车辆可正常通行！,流浪啊,网友曝光,57880,133,0,0,0,71180,城建交通更新,train,332,4,12.05,90.0,0.25,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/09/800423-宜宾中心城区这些区域，车辆可正常通行！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=800423
860654,2023-12-17,宜宾下雪了！快来看雪啦！,流浪啊,今日宜宾,44276,266,0,0,0,70876,综合本地新闻,train,176,6,34.09,23.0,0.5,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/12/860654-宜宾下雪了！快来看雪啦！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=860654
897031,2024-11-30,受不了！家庭聚会像景点一样被亲戚挨着打卡，问我好久结婚…,流浪啊,网友曝光,41232,293,0,0,0,70532,网友曝光热议,train,331,6,18.13,48.5,0.167,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/11/897031-受不了！家庭聚会像景点一样被亲戚挨着打卡，问我好久结婚….md,https://dayibin.cn/forum.php?mod=viewthread&tid=897031
899895,2024-12-28,小车取消限号！宜宾终止重污染天气橙色应急响应！,流浪啊,今日宜宾,47188,231,0,0,0,70288,民生服务提醒,train,1273,30,23.57,38.5,0.4,8,3,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/12/899895-小车取消限号！宜宾终止重污染天气橙色应急响应！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=899895
858179,2023-11-24,宜宾某外卖平台销量第一小碗菜被查！现场卫生“惨不忍睹”…,流浪啊,网友曝光,36135,341,0,0,0,70235,网友曝光热议,train,149,7,46.98,15,0.571,3,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/11/858179-宜宾某外卖平台销量第一小碗菜被查！现场卫生“惨不忍睹”….md,https://dayibin.cn/forum.php?mod=viewthread&tid=858179
770291,2022-04-15,刚刚！宜宾地震了！3.9级！,流浪啊,今日宜宾,52052,175,0,0,0,69552,突发应急安全,train,166,3,18.07,69,0.333,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/04/770291-刚刚！宜宾地震了！3.9级！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=770291
799276,2022-09-14,凌晨2点！终于收到政府送的物资包，好大一坨肉…,流浪啊,最新疫情,56425,131,0,0,0,69525,政务公告党建,train,272,6,22.06,47.5,0.167,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/09/799276-凌晨2点！终于收到政府送的物资包，好大一坨肉….md,https://dayibin.cn/forum.php?mod=viewthread&tid=799276
855514,2023-10-31,宾友们，298元吃整只烤全羊是套路吗？,流浪啊,网友曝光,55925,131,0,0,0,69025,网友曝光热议,train,226,5,22.12,57,0.2,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/10/855514-宾友们，298元吃整只烤全羊是套路吗？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=855514
751348,2021-12-25,通知！宜宾224交通管制，限制通行1个月！,流浪啊,城市更新,45649,230,0,0,0,68649,城建交通更新,train,572,17,29.72,17,0.588,3,4,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/12/751348-通知！宜宾224交通管制，限制通行1个月！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=751348
837881,2023-06-09,刚刚！宜宾有了一个新名字：中国动力电池之都！,流浪啊,大美宜宾,43362,247,0,0,0,68062,综合本地新闻,train,75,3,40.0,22,0.333,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/06/837881-刚刚！宜宾有了一个新名字：中国动力电池之都！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=837881
890642,2024-09-27,渝昆高铁官宣开通！重庆到宜宾最低票价89元！,流浪啊,网友曝光,43096,247,0,0,0,67796,城建交通更新,train,1052,8,7.6,130.5,0.25,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/09/890642-渝昆高铁官宣开通！重庆到宜宾最低票价89元！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=890642
795355,2022-08-24,宜宾太热了！马路都遭晒化了，窝下去多大一片…,流浪啊,大美宜宾,52271,155,0,0,0,67771,综合本地新闻,train,142,5,35.21,33,0.4,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/08/795355-宜宾太热了！马路都遭晒化了，窝下去多大一片….md,https://dayibin.cn/forum.php?mod=viewthread&tid=795355
776917,2022-05-19,宜宾这条路要火！开车比蹦蹦车还刺激，结石都要抖出来…,流浪啊,今日宜宾,41467,262,0,0,0,67667,综合本地新闻,train,162,6,37.04,23.0,0.5,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/05/776917-宜宾这条路要火！开车比蹦蹦车还刺激，结石都要抖出来….md,https://dayibin.cn/forum.php?mod=viewthread&tid=776917
898555,2024-12-15,你还记得读书时期，一顿饭要花多少钱吗？,流浪啊,网友曝光,41144,264,0,0,0,67544,网友曝光热议,train,342,7,20.47,38,0.286,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/12/898555-你还记得读书时期，一顿饭要花多少钱吗？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=898555
898005,2024-12-10,宜宾下雪啦！,流浪啊,今日宜宾,44824,223,0,0,0,67124,综合本地新闻,train,286,12,41.96,18.0,0.583,7,1,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/12/898005-宜宾下雪啦！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=898005
880488,2024-06-24,宜宾市文理双状元出炉！你家孩子高考多少分？,流浪啊,网友曝光,41069,257,0,0,0,66769,公益求助人物,train,456,7,15.35,50,0.143,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/06/880488-宜宾市文理双状元出炉！你家孩子高考多少分？.md,https://dayibin.cn/forum.php?mod=viewthread&tid=880488
842612,2023-07-16,今天起，岷江大桥老桥开放通行！,流浪啊,网友曝光,37488,292,0,0,0,66688,城建交通更新,train,234,6,25.64,26.5,0.333,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/07/842612-今天起，岷江大桥老桥开放通行！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=842612
816259,2022-12-30,要修峡谷？五粮液片区有大变化了！,流浪啊,城市更新,31470,350,0,0,0,66470,城建交通更新,train,810,12,14.81,61.5,0.167,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/12/816259-要修峡谷？五粮液片区有大变化了！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=816259
855574,2023-10-31,求助！4岁侄儿耍手机到半夜，不给就哭！该怎么办…,流浪啊,网友曝光,48712,175,0,0,0,66212,公益求助人物,train,394,7,17.77,54,0.143,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/10/855574-求助！4岁侄儿耍手机到半夜，不给就哭！该怎么办….md,https://dayibin.cn/forum.php?mod=viewthread&tid=855574
811503,2022-11-25,偷税漏税！吴亦凡获刑13年，附加驱逐出境！,流浪啊,网友曝光,36705,292,0,0,0,65905,网友曝光热议,train,1008,24,23.81,27.0,0.458,3,2,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/11/811503-偷税漏税！吴亦凡获刑13年，附加驱逐出境！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=811503
799421,2022-09-14,紧急！急需B型血救命！东方时代附近！,流浪啊,网友曝光,54233,113,0,0,0,65533,网友曝光热议,train,136,4,29.41,34.0,0.25,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/09/799421-紧急！急需B型血救命！东方时代附近！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=799421
822731,2023-02-19,牛！宜宾一面包车在长江桥两轮车道狂飙！,流浪啊,网友曝光,37004,284,0,0,0,65404,网友曝光热议,train,72,3,41.67,12,0.667,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/02/822731-牛！宜宾一面包车在长江桥两轮车道狂飙！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=822731
741833,2021-11-09,今天！宜宾万达、CGV、柏溪太平洋影城已暂停营业！,流浪啊,最新疫情,42908,224,0,0,0,65308,突发应急安全,train,106,3,28.3,32,0.333,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/11/741833-今天！宜宾万达、CGV、柏溪太平洋影城已暂停营业！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=741833
774419,2022-05-07,宜宾这个开玛莎拉蒂的遭逮了！,流浪啊,网友曝光,51504,136,0,0,0,65104,网友曝光热议,train,271,5,18.45,31,0.4,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2022/05/774419-宜宾这个开玛莎拉蒂的遭逮了！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=774419
744969,2021-11-23,建行家装节，惠爱幸福家！,流浪啊,今日宜宾,56080,88,0,0,0,64880,综合本地新闻,train,58,7,120.69,8,1.0,7,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2021/11/744969-建行家装节，惠爱幸福家！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=744969
841361,2023-07-06,宜宾发现一家奇怪小店！店员不说话，点餐靠比划…,流浪啊,今日宜宾,34646,302,0,0,0,64846,综合本地新闻,train,812,9,11.08,91,0.222,1,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2023/07/841361-宜宾发现一家奇怪小店！店员不说话，点餐靠比划….md,https://dayibin.cn/forum.php?mod=viewthread&tid=841361
886132,2024-08-16,即将通车！渝昆高铁渝宜段开始运行试验！,流浪啊,城市更新,36520,283,0,0,0,64820,城建交通更新,train,290,7,24.14,33,0.429,2,0,/Users/lixin/Documents/大宜宾/大宜宾知识库整理/大宜宾 app 资料库/2024/08/886132-即将通车！渝昆高铁渝宜段开始运行试验！.md,https://dayibin.cn/forum.php?mod=viewthread&tid=886132
