split,weighted_score,global_percentile,year_percentile,spike_bonus,base_score,file,title,date,year,author,account,type,word_count,paragraph_count,paragraphs_per_1000,median_para_len,short_para_ratio,max_short_run,image_count,section_count,阅读,点赞,转发,喜欢,留言,url
training_top80,0.861851,0.802644,1.0,1.0,7.71526614870655,20190422_监控镜头下的35张偷拍照，彻底出卖成年人的体面.md,监控镜头下的35张偷拍照，彻底出卖成年人的体面,2019-04-22,2019,槽值小妹,槽值,社会情绪/打工人生活,3061,146,47.7,19.0,0.555,7,47,0,100000,98,35,40000,100,https://mp.weixin.qq.com/s/ma4J3ZvOPD7XNhqpNKSMKA
training_top80,0.531109,0.348442,0.959459,0.95308,6.9104092473207395,20190423_“贾玲，你别装了”.md,“贾玲，你别装了”,2019-04-23,2019,槽值小妹,槽值,娱乐影视/人物舆论,3224,158,49.01,20.0,0.506,7,39,0,100000,49,3,11000,98,https://mp.weixin.qq.com/s/2w2YzV4aa-nHjAf3GgLReA
training_top80,0.286967,0.124646,0.810811,0.375523,6.176928421406465,20190520_“老实人”徐峥六次恋爱失败：成年人爱情的残酷全在这了.md,“老实人”徐峥六次恋爱失败：成年人爱情的残酷全在这了,2019-05-20,2019,槽值小妹,槽值,身体审美/亲密关系,4869,203,41.69,24,0.399,4,74,0,100000,4,5,2236,98,https://mp.weixin.qq.com/s/Zjb6DAxRTesHSJpysbKnZA
training_top80,0.240024,0.108593,0.716216,0.207661,5.963748503292612,20190521_《权力的游戏》隐藏的职场潜规则，比剧情过瘾10000倍.md,《权力的游戏》隐藏的职场潜规则，比剧情过瘾10000倍,2019-05-21,2019,槽值小妹,槽值,社会情绪/打工人生活,3079,142,46.12,21.0,0.493,7,22,0,100000,2,8,731,100,https://mp.weixin.qq.com/s/4P2HpksghGRAwB41mWpP7Q
excluded_bottom20,0.170069,0.081209,0.540541,0.051147,5.764980090448665,20190522_Angelababy的生育观，你学不起.md,Angelababy的生育观，你学不起,2019-05-22,2019,槽值小妹,槽值,身体审美/亲密关系,2908,128,44.02,21.0,0.492,7,26,0,100000,2,1,1454,98,https://mp.weixin.qq.com/s/kLY1VhhqnmkHHk5T9lKN2w
training_top80,0.613197,0.455146,0.972973,1.0,7.06863938462185,20190524_周杰伦被逼唱《学猫叫》：你看到了羞辱，我只觉得心酸.md,周杰伦被逼唱《学猫叫》：你看到了羞辱，我只觉得心酸,2019-05-24,2019,槽值小妹,槽值,综合热点/观点拆解,3202,142,44.35,22.0,0.408,4,47,0,100000,60,8,7640,100,https://mp.weixin.qq.com/s/Bd6eNYz_oVe0rDESp29j6A
training_top80,0.255914,0.115203,0.72973,0.293262,6.072459649188024,20190525_那个凌晨三点不回家的女孩，一年没发过朋友圈了.md,那个凌晨三点不回家的女孩，一年没发过朋友圈了,2019-05-25,2019,槽值小妹,槽值,身体审美/亲密关系,2606,125,47.97,20,0.536,6,16,0,100000,3,2,4060,99,https://mp.weixin.qq.com/s/Q4sQSIbHM57iHYLt8WWgiA
excluded_bottom20,0.004627,0.00661,0.0,0.0,5.152870522490379,20190527_刷爆朋友圈的漫画，说出了我最不敢聊的两个字.md,刷爆朋友圈的漫画，说出了我最不敢聊的两个字,2019-05-27,2019,槽值小妹,槽值,社会情绪/打工人生活,2260,93,41.15,23,0.473,4,17,0,100000,0,0,414,79,https://mp.weixin.qq.com/s/4wDl3D2TJzgUBcHvGx0Suw
training_top80,0.352022,0.162417,0.891892,0.599512,6.46138786408941,20190528_凭什么日本人全世界最瘦？.md,凭什么日本人全世界最瘦？,2019-05-28,2019,槽值小妹,槽值,地域文化/城市迷因,3245,139,42.84,22,0.424,4,37,0,100000,3,30,2403,100,https://mp.weixin.qq.com/s/K8-XRDOAhnhMqm0TuEeb_g
training_top80,0.224508,0.102927,0.675676,0.173235,5.920028474786741,20190529_那群在试衣间自嗨的女孩，你们够了.md,那群在试衣间自嗨的女孩，你们够了,2019-05-29,2019,槽值小妹,槽值,身体审美/亲密关系,2480,114,45.97,20.0,0.535,4,39,2,100000,3,0,6338,100,https://mp.weixin.qq.com/s/OMO2qLnky788Wf83xtHGQQ
training_top80,0.619205,0.459868,0.986486,1.0,7.07196939025161,20190601_“毁童年”的9.7分神作，藏着细思极恐的人生真相.md,“毁童年”的9.7分神作，藏着细思极恐的人生真相,2019-06-01,2019,槽值小妹,槽值,怀旧文化/IP解读,2809,132,46.99,22.5,0.424,5,46,0,100000,30,23,6527,100,https://mp.weixin.qq.com/s/SXekh6f751MNj6JGqKkhGA
excluded_bottom20,0.146873,0.070822,0.486486,0.0,5.671041440229522,20190603_又一良心国产剧崩塌：这套路胡歌黄景瑜也撑不起来.md,又一良心国产剧崩塌：这套路胡歌黄景瑜也撑不起来,2019-06-03,2019,槽值小妹,槽值,娱乐影视/人物舆论,2918,137,46.95,20,0.511,6,34,2,100000,2,0,1959,98,https://mp.weixin.qq.com/s/49qpakP2DfexZs5ub-GLrg
excluded_bottom20,0.098576,0.048159,0.324324,0.0,5.5194524797711,20190610_这可能是朋友圈最大的谎言.md,这可能是朋友圈最大的谎言,2019-06-10,2019,槽值小妹,槽值,社会情绪/打工人生活,421,12,28.5,29.0,0.417,2,15,0,100000,1,0,1392,100,https://mp.weixin.qq.com/s/L3TUKptIgU5u-WjvDnfx8A
excluded_bottom20,0.102601,0.050047,0.337838,0.0,5.532003015756082,20190613_吊打朋友圈网红店，千万别在深夜点开这神作.md,吊打朋友圈网红店，千万别在深夜点开这神作,2019-06-13,2019,槽值小妹,槽值,消费品牌/商业拆解,3618,166,45.88,22.0,0.44,5,55,0,100000,0,1,1920,98,https://mp.weixin.qq.com/s/HarVlBZfZIxMMvJqyyvpJg
training_top80,0.319418,0.140699,0.851351,0.50658,6.3433670052993785,20190618_那个微信发“嗯”的人，已被踢出群聊.md,那个微信发“嗯”的人，已被踢出群聊,2019-06-18,2019,槽值小妹,槽值,社会情绪/打工人生活,2755,122,44.28,22.0,0.426,4,31,0,100000,4,12,2411,99,https://mp.weixin.qq.com/s/a90HeU_wyqMOigiaamyzkw
excluded_bottom20,0.124105,0.057602,0.418919,0.0,5.59060863745623,20190620_被朋友圈“伪仪式感”吞没的年轻人，都活成了什么样子.md,被朋友圈“伪仪式感”吞没的年轻人，都活成了什么样子,2019-06-20,2019,槽值小妹,槽值,社会情绪/打工人生活,3394,122,35.95,25.0,0.336,10,23,0,100000,0,3,1122,99,https://mp.weixin.qq.com/s/9ErlKPKUfU2hyXruwW8Kpg
excluded_bottom20,0.070403,0.034939,0.22973,0.0,5.442702277639488,20190621_佟丽娅，这次你赢了.md,佟丽娅，这次你赢了,2019-06-21,2019,槽值小妹,槽值,综合热点/观点拆解,3044,140,45.99,21.5,0.464,5,51,0,100000,0,0,2668,98,https://mp.weixin.qq.com/s/eZ0yH-jvGANHa24DkkGWgA
excluded_bottom20,0.073767,0.035883,0.243243,0.0,5.449052933433577,20190626_这部毁三观爱情戏，值得豆瓣8.3？.md,这部毁三观爱情戏，值得豆瓣8.3？,2019-06-26,2019,槽值小妹,槽值,综合热点/观点拆解,2396,116,48.41,19.5,0.543,6,44,0,100000,0,1,1104,98,https://mp.weixin.qq.com/s/Mhu2nB4zBGCvkUf1w_-fBg
excluded_bottom20,0.047577,0.025496,0.148649,0.0,5.325417856181359,20190627_“我不想在朋友圈假装自律了”.md,“我不想在朋友圈假装自律了”,2019-06-27,2019,槽值小妹,槽值,社会情绪/打工人生活,2613,109,41.71,22,0.459,10,18,0,100000,0,1,482,99,https://mp.weixin.qq.com/s/ulJcQ23kjuKIy3nBo_ISgQ
excluded_bottom20,0.067039,0.033994,0.216216,0.0,5.428267720840724,20190628_千万不要相信女生的鬼话！！！哈哈哈哈哈.md,千万不要相信女生的鬼话！！！哈哈哈哈哈,2019-06-28,2019,槽值小妹,槽值,身体审美/亲密关系,367,11,29.97,21,0.455,4,20,0,100000,1,0,760,99,https://mp.weixin.qq.com/s/TT2EwAAmlBECDn3P5dyVxw
training_top80,0.323544,0.141643,0.864865,0.514209,6.353055813427684,20190701_没人敢翻拍的《武林外传》，我13年后才看懂.md,没人敢翻拍的《武林外传》，我13年后才看懂,2019-07-01,2019,槽值小妹,槽值,综合热点/观点拆解,3374,154,45.64,22.0,0.468,8,65,0,100000,7,3,5677,98,https://mp.weixin.qq.com/s/ewbRJeXD_PZkBnfkkPQqAw
training_top80,0.203552,0.096317,0.608108,0.145086,5.884280233585864,20190703_虐哭朋友圈的高分神综，每一秒都暴击人性.md,虐哭朋友圈的高分神综，每一秒都暴击人性,2019-07-03,2019,槽值小妹,槽值,社会情绪/打工人生活,3408,163,47.83,21,0.497,7,66,0,100000,1,2,3664,100,https://mp.weixin.qq.com/s/DF1hplzMcjG_RZuKvshscg
excluded_bottom20,0.165739,0.07932,0.527027,0.048092,5.761099683628146,20190704_那个羞辱父亲的18岁少女，你够了.md,那个羞辱父亲的18岁少女，你够了,2019-07-04,2019,槽值小妹,槽值,身体审美/亲密关系,2926,142,48.53,21.0,0.479,7,39,0,100000,2,0,3548,100,https://mp.weixin.qq.com/s/5Jxte9-L4wHenpwApplfuQ
excluded_bottom20,0.187399,0.090652,0.567568,0.104289,5.832468297336368,20190709_女明星自曝婚后4年分房睡：我劝你别高估婚姻.md,女明星自曝婚后4年分房睡：我劝你别高估婚姻,2019-07-09,2019,槽值小妹,槽值,身体审美/亲密关系,3033,135,44.51,21,0.474,5,31,0,100000,1,4,1312,100,https://mp.weixin.qq.com/s/O4xGIJtZRRrIg_tB0jl8Cg
excluded_bottom20,0.05094,0.02644,0.162162,0.0,5.357388944463563,20190710_妇产科门口4个真实瞬间，折射千万女性的隐痛.md,妇产科门口4个真实瞬间，折射千万女性的隐痛,2019-07-10,2019,槽值小妹,槽值,身体审美/亲密关系,3229,142,43.98,21.0,0.465,4,41,0,100000,0,0,1775,60,https://mp.weixin.qq.com/s/lons7BgSIFOdI2LRmZgSEw
training_top80,0.277803,0.121813,0.783784,0.357773,6.1543859089367325,20190711_女明星一句话惹哭何炅：人生最残忍的，是来不及告别.md,女明星一句话惹哭何炅：人生最残忍的，是来不及告别,2019-07-11,2019,槽值小妹,槽值,娱乐影视/人物舆论,4043,196,48.48,20.0,0.546,12,38,0,100000,3,5,2791,98,https://mp.weixin.qq.com/s/pYDTn_DF-4W74A2az1KQDQ
excluded_bottom20,0.129452,0.061379,0.432432,0.0,5.603018885016966,20190715_“我18岁，现在整容还来得及吗？”.md,“我18岁，现在整容还来得及吗？”,2019-07-15,2019,槽值小妹,槽值,身体审美/亲密关系,2845,129,45.34,21,0.496,5,29,0,100000,1,1,964,100,https://mp.weixin.qq.com/s/ITBxED0zyIy3IiF9j5vVuQ
training_top80,0.381375,0.186025,0.918919,0.673736,6.555650193562763,20190717_被爸妈禁看的“脑残”神作，凭什么爆红20年.md,被爸妈禁看的“脑残”神作，凭什么爆红20年,2019-07-17,2019,槽值小妹,槽值,怀旧文化/IP解读,3397,198,58.29,16.0,0.712,12,65,0,100000,6,13,5134,99,https://mp.weixin.qq.com/s/e-iV9ukaTLHXQPDvZEpQrQ
training_top80,0.236106,0.107649,0.702703,0.202114,5.956703313864428,20190719_失去隐私的90后：每天，有10000人想拉黑父母.md,失去隐私的90后：每天，有10000人想拉黑父母,2019-07-19,2019,槽值小妹,槽值,身体审美/亲密关系,2780,145,52.16,19,0.6,8,27,0,100000,2,3,2065,99,https://mp.weixin.qq.com/s/hQRYXC9qFLBADe4QCETcmA
training_top80,0.271276,0.118036,0.77027,0.345972,6.139399870216038,20190724_知乎热门一句话打脸父母，揭开多少人不敢说的隐痛.md,知乎热门一句话打脸父母，揭开多少人不敢说的隐痛,2019-07-24,2019,槽值小妹,槽值,身体审美/亲密关系,2905,138,47.5,20.0,0.529,7,32,0,100000,4,3,2970,100,https://mp.weixin.qq.com/s/2UiSU1_DVs5GgboECIdjig
excluded_bottom20,0.054304,0.027384,0.175676,0.0,5.359902916725173,20190725_“分手吧，你剪完短发就不像我初恋了”.md,“分手吧，你剪完短发就不像我初恋了”,2019-07-25,2019,槽值小妹,槽值,身体审美/亲密关系,2379,116,48.76,19.0,0.586,8,21,0,100000,0,2,353,99,https://mp.weixin.qq.com/s/lFY-1xPovPLvYwvdlct19g
excluded_bottom20,0.150897,0.07271,0.5,0.0,5.7000247528323555,20190726_比奶茶过瘾100倍，没人顶得住这致命诱惑.md,比奶茶过瘾100倍，没人顶得住这致命诱惑,2019-07-26,2019,槽值小妹,槽值,消费品牌/商业拆解,2992,147,49.13,19,0.571,7,49,0,100000,1,2,1072,100,https://mp.weixin.qq.com/s/G2Os4AnsvnePVjzvB7RNgg
training_top80,0.207202,0.097262,0.621622,0.147941,5.887905196967776,20190729_真实到窒息的婚姻实录：被高估的爱情，输给人性.md,真实到窒息的婚姻实录：被高估的爱情，输给人性,2019-07-29,2019,槽值小妹,槽值,身体审美/亲密关系,2935,151,51.45,18,0.609,11,40,0,100000,2,2,1922,98,https://mp.weixin.qq.com/s/PBt_X5gqg61pkWEkS_RZPA
excluded_bottom20,0.063015,0.032106,0.202703,0.0,5.395061489236463,20190730_姚晨海清当众“卖惨”，不丢脸.md,姚晨海清当众“卖惨”，不丢脸,2019-07-30,2019,槽值小妹,槽值,身体审美/亲密关系,2974,147,49.43,19,0.585,12,29,0,100000,0,0,1955,96,https://mp.weixin.qq.com/s/IjG2WYy9aa6iSDB3cXg98g
training_top80,0.314585,0.139754,0.837838,0.491895,6.3247174617856405,20190731_《哪吒》被忽视的4个隐藏剧情，够硬核.md,《哪吒》被忽视的4个隐藏剧情，够硬核,2019-07-31,2019,槽值小妹,槽值,娱乐影视/人物舆论,2981,158,53.0,18.0,0.633,8,42,0,100000,3,9,4368,100,https://mp.weixin.qq.com/s/isq2_3Yj41EOGOveGNgxSg
training_top80,0.328882,0.144476,0.878378,0.520737,6.361345719101368,20190806_日本跟拍29年的神作，建议你谨慎观看.md,日本跟拍29年的神作，建议你谨慎观看,2019-08-06,2019,槽值小妹,槽值,地域文化/城市迷因,3055,147,48.12,20,0.531,7,54,0,100000,5,9,2885,95,https://mp.weixin.qq.com/s/edunL5b_ctLThkQzK1ubCA
training_top80,0.282164,0.123702,0.797297,0.361135,6.1586552019117855,20190809_95后交往禁忌曝光：成年人的爱情，够现实.md,95后交往禁忌曝光：成年人的爱情，够现实,2019-08-09,2019,槽值小妹,槽值,社会情绪/打工人生活,3696,170,46.0,21.0,0.476,5,29,0,100000,3,5,2862,99,https://mp.weixin.qq.com/s/BlHvfUh2NvklXRETlWxYtw
training_top80,0.220932,0.101983,0.662162,0.171111,5.9173309377848,20190812_消失在朋友圈的中年女人，崩溃仅自己可见.md,消失在朋友圈的中年女人，崩溃仅自己可见,2019-08-12,2019,槽值小妹,槽值,身体审美/亲密关系,2941,122,41.48,24.0,0.336,5,31,0,100000,1,5,1818,99,https://mp.weixin.qq.com/s/pe7DXl1KAeq1bQ9xYF5r-A
excluded_bottom20,0.173598,0.082153,0.554054,0.052798,5.767076445623587,20190814_“偷看同事的聊天记录后，我决定退出群聊”.md,“偷看同事的聊天记录后，我决定退出群聊”,2019-08-14,2019,槽值小妹,槽值,社会情绪/打工人生活,3158,136,43.07,23.0,0.412,4,42,0,100000,1,2,1688,98,https://mp.weixin.qq.com/s/FuE3EZhmCjSU3BSTEhn0IQ
excluded_bottom20,0.079113,0.03966,0.256757,0.0,5.47186796689516,20190816_凌晨4点被暴打的11岁男孩，唤醒我的童年阴影.md,凌晨4点被暴打的11岁男孩，唤醒我的童年阴影,2019-08-16,2019,槽值小妹,槽值,怀旧文化/IP解读,3402,162,47.62,21.0,0.457,6,54,0,100000,0,0,3230,99,https://mp.weixin.qq.com/s/xmqLePkW63PbXdDrjDtheA
excluded_bottom20,0.105965,0.050992,0.351351,0.0,5.547489215286822,20190819_微信交往潜规则：“没人稀罕偷窥你的朋友圈”.md,微信交往潜规则：“没人稀罕偷窥你的朋友圈”,2019-08-19,2019,槽值小妹,槽值,社会情绪/打工人生活,2299,91,39.58,24,0.319,3,27,0,100000,0,0,5560,88,https://mp.weixin.qq.com/s/XWvjNP9keDEu0yPBjPtlAQ
excluded_bottom20,0.042891,0.022663,0.135135,0.0,5.310518220478413,20190820_“那个27岁放弃朋友圈的年轻人”.md,“那个27岁放弃朋友圈的年轻人”,2019-08-20,2019,槽值小妹,槽值,社会情绪/打工人生活,2371,92,38.8,24.0,0.424,4,17,0,100000,0,0,1101,99,https://mp.weixin.qq.com/s/WE3aZaA1UtO2LCsO7rnPXA
excluded_bottom20,0.114014,0.054769,0.378378,0.0,5.559283994324572,20190821_被低情商社交虐惨的，不只张雨绮.md,被低情商社交虐惨的，不只张雨绮,2019-08-21,2019,槽值小妹,槽值,社会情绪/打工人生活,2988,140,46.85,20.0,0.521,7,40,0,100000,0,2,1332,100,https://mp.weixin.qq.com/s/7ZJ3zM5MEYRvxJBYYLA_PQ
excluded_bottom20,0.057668,0.028329,0.189189,0.0,5.362764494274894,20190825_这可能是互联网公司隐藏最深的秘密.md,这可能是互联网公司隐藏最深的秘密,2019-08-25,2019,槽值小妹,槽值,怀旧文化/IP解读,412,28,67.96,12.0,0.893,19,21,0,100000,0,0,1555,100,https://mp.weixin.qq.com/s/CDKXXZ_tvImSe3K1vuMyDw
training_top80,0.200188,0.095373,0.594595,0.145074,5.884264888450601,20190826_被误解25年的高分神剧，一半成年人被它治愈.md,被误解25年的高分神剧，一半成年人被它治愈,2019-08-26,2019,槽值小妹,槽值,娱乐影视/人物舆论,2844,128,45.01,23.0,0.445,5,41,0,100000,3,1,2115,82,https://mp.weixin.qq.com/s/__RzoqVtCQEiiNFpvzK6jA
training_top80,0.263554,0.117092,0.756757,0.30238,6.084038575973707,20190827_黄磊一条微博引热议：多少人的羞耻感，是父母给的.md,黄磊一条微博引热议：多少人的羞耻感，是父母给的,2019-08-27,2019,槽值小妹,槽值,身体审美/亲密关系,2693,131,48.64,20,0.534,6,32,0,100000,2,5,2811,99,https://mp.weixin.qq.com/s/TXAKGDc1uMRL_J8BGsXiog
excluded_bottom20,0.090526,0.044381,0.297297,0.0,5.497954759427755,20190828_“因为一顿火锅，我和男友分手了”.md,“因为一顿火锅，我和男友分手了”,2019-08-28,2019,槽值小妹,槽值,身体审美/亲密关系,2703,137,50.68,18,0.599,9,15,0,100000,1,1,478,100,https://mp.weixin.qq.com/s/aAcZgPpX4zCRenPHdti5Ig
training_top80,0.358381,0.166195,0.905405,0.60964,6.474249466888634,20190830_又一男神人设崩塌：长大后，我们都活成了反派.md,又一男神人设崩塌：长大后，我们都活成了反派,2019-08-30,2019,槽值小妹,槽值,综合热点/观点拆解,2804,140,49.93,20.0,0.571,10,45,0,100000,5,10,5339,98,https://mp.weixin.qq.com/s/y4O1-sK9C2lXh8MQbZWruA
excluded_bottom20,0.094551,0.04627,0.310811,0.0,5.514228577648315,20190902_男明星综艺崩溃大哭，这次我不想骂他虚伪.md,男明星综艺崩溃大哭，这次我不想骂他虚伪,2019-09-02,2019,槽值小妹,槽值,娱乐影视/人物舆论,2964,150,50.61,19.0,0.587,12,46,0,100000,0,1,1694,100,https://mp.weixin.qq.com/s/ZvuShWmxIeo4R-N0LuhCMg
excluded_bottom20,0.117378,0.055713,0.391892,0.0,5.5685168859199985,20190904_那个死去3年的微信群，还是我的聊天置顶.md,那个死去3年的微信群，还是我的聊天置顶,2019-09-04,2019,小五,槽值,综合热点/观点拆解,2243,104,46.37,20.0,0.529,4,16,0,100000,1,0,1931,100,https://mp.weixin.qq.com/s/vIYHgp5UwZlVwa5oqNLgxQ
training_top80,0.230586,0.104816,0.689189,0.193766,5.94610189128787,20190906_隐藏10年的心机女主，《甄嬛传》里活不过3集.md,隐藏10年的心机女主，《甄嬛传》里活不过3集,2019-09-06,2019,槽值小妹,槽值,综合热点/观点拆解,3296,149,45.21,22,0.456,6,44,0,100000,3,2,1748,99,https://mp.weixin.qq.com/s/rZxou2UyLZDDRanmLy5xvw
excluded_bottom20,0.19372,0.094429,0.581081,0.114033,5.844843454261731,20190910_欧阳娜娜，怼得好.md,欧阳娜娜，怼得好,2019-09-10,2019,槽值小妹,槽值,娱乐影视/人物舆论,2576,130,50.47,20.0,0.538,11,36,0,100000,2,1,2586,86,https://mp.weixin.qq.com/s/-TMUE7okW5MIO_A9gzwyzQ
excluded_bottom20,0.03418,0.017941,0.108108,0.0,5.26594559180876,20190911_北上广社交聊天禁忌.md,北上广社交聊天禁忌,2019-09-11,2019,槽值小妹,槽值,社会情绪/打工人生活,2826,116,41.05,23.5,0.397,5,14,0,100000,0,0,815,100,https://mp.weixin.qq.com/s/5puoujaNEP0h7ZB7tOqbgw
excluded_bottom20,0.026131,0.014164,0.081081,0.0,5.2569176534970055,20190913_不忍直视的五分钟，击碎那个成年人的虚伪.md,不忍直视的五分钟，击碎那个成年人的虚伪,2019-09-13,2019,槽值小妹,槽值,社会情绪/打工人生活,3257,140,42.98,23.0,0.4,5,56,0,80000,0,1,676,43,https://mp.weixin.qq.com/s/VAN3gmjVSgCGozM6xkaa8g
excluded_bottom20,0.022768,0.01322,0.067568,0.0,5.2434746483590455,20190918_“工作3年，我输给了那个在朋友圈努力的同事”.md,“工作3年，我输给了那个在朋友圈努力的同事”,2019-09-18,2019,槽值小妹,槽值,社会情绪/打工人生活,2509,118,47.03,20.0,0.525,8,20,0,100000,0,0,711,96,https://mp.weixin.qq.com/s/G2x1JyK81kxCVJeBs_6WLw
